Class,Opal_520,Opal_570,Opal_620,Opal_690,Distance
*: Opal 520: Opal 690,0.3404,0.0008,0.0037,0.076,2985.9749
*: Opal 520,0.201,0.0004,0.009,0.0071,2892.4536
*: Opal 520: Opal 690,0.2549,0.005,0.0097,0.0307,2848.3838
Opal 620: Opal 520: *,0.2669,0.0003,0.0764,0.0116,2932.7473
*: Opal 520: Opal 570,0.1738,0.0114,0.0047,0.0108,2915.7766
Opal 620: Opal 520: Opal 690: *,0.211,0.0042,0.0356,0.0253,2957.7986
Opal 620: Opal 520: Opal 690: *,1.2232,0.0025,0.0859,0.0317,2949.7793
Opal 620: Opal 520: *,0.9901,0.0002,0.0848,0.0146,2911.0845
*: Opal 520,0.165,0.0002,0.004,0.0157,2954.064
*: Opal 520: Opal 690,0.2273,0.0013,0.003,0.0352,2794.2017
*: Opal 520: Opal 690,0.2599,0.0002,0.0042,0.0325,2802.1282
*: Opal 520: Opal 690: Opal 570,0.5631,0.0135,0.0044,0.0977,2854.824
*: Opal 520: Opal 690: Opal 570,0.5191,0.0096,0.0026,0.1011,2788.0977
*: Opal 520: Opal 690,0.4403,0.0023,0.0019,0.0569,2721.7832
*: Opal 520: Opal 690,0.5149,0.0045,0.0022,0.0602,2794.7107
*: Opal 520: Opal 690: Opal 570,0.308,0.0131,0.0027,0.0383,2724.1648
*: Opal 520: Opal 690,0.2869,0.0038,0.0031,0.0511,2769.8752
*: Opal 520: Opal 690,0.3381,0.003,0.0025,0.0426,2706.5063
*: Opal 520: Opal 690: Opal 570,0.4679,0.0315,0.0032,0.0656,2759.0659
Opal 620: Opal 520: Opal 690: *,0.2008,0.0022,0.0931,0.0632,2809.2498
Opal 620: Opal 520: *,0.1616,0.0007,0.1095,0.0117,2662.8831
*: Opal 520: Opal 690: Opal 570,0.4544,0.0169,0.0026,0.0706,2717.8118
*: Opal 520: Opal 690,0.2053,0.0022,0.0031,0.0557,2758.6069
*: Opal 520: Opal 690: Opal 570,0.3665,0.0102,0.0024,0.0396,2725.1172
*: Opal 520: Opal 690,0.2287,0.0004,0.0049,0.0287,2832.8933
